"","treatment","metric","value","expt","population"
"4691","3_1_1","fecundity",16,5,NA
"4701","3_1_1","fecundity",28,5,NA
"4713","3_1_1","fecundity",12,5,NA
"4721","3_1_1","fecundity",10,5,NA
"4731","3_1_1","fecundity",20,5,NA
"4741","3_1_1","fecundity",22,5,NA
"4751","3_1_1","fecundity",21,5,NA
"4761","3_1_1","fecundity",19,5,NA
"4771","3_1_1","fecundity",4,5,NA
"4781","3_1_1","fecundity",12,5,NA
"4791","3_1_1","fecundity",9,5,NA
"4801","3_1_1","fecundity",11,5,NA
"4813","3_1_1","fecundity",12,5,NA
"4821","3_1_1","fecundity",13,5,NA
"4831","3_1_1","fecundity",34,5,NA
"4841","3_1_1","fecundity",20,5,NA
"4851","3_1_1","fecundity",7,5,NA
"4861","3_1_1","fecundity",19,5,NA
"4871","3_1_1","fecundity",19,5,NA
"4881","2_1_1","fecundity",11,5,NA
"4891","2_1_1","fecundity",21,5,NA
"4901","2_1_1","fecundity",22,5,NA
"4913","2_1_1","fecundity",26,5,NA
"4921","2_1_1","fecundity",12,5,NA
"4931","2_1_1","fecundity",17,5,NA
"4941","2_1_1","fecundity",40,5,NA
"4951","2_1_1","fecundity",21,5,NA
"4961","2_1_1","fecundity",36,5,NA
"4971","2_1_1","fecundity",22,5,NA
"4981","2_1_1","fecundity",35,5,NA
"4991","2_1_1","fecundity",23,5,NA
"5001","2_1_1","fecundity",12,5,NA
"5013","2_1_1","fecundity",15,5,NA
"5021","2_1_1","fecundity",38,5,NA
"5031","2_1_1","fecundity",37,5,NA
"5041","2_1_1","fecundity",21,5,NA
"5051","2_1_1","fecundity",20,5,NA
"5061","2_1_1","fecundity",30,5,NA
"5071","2_1_1","fecundity",17,5,NA
"5081","2_1_1","fecundity",4,5,NA
"5091","2_1_1","fecundity",8,5,NA
"5103","2_1_1","fecundity",23,5,NA
"5113","2_1_1","fecundity",21,5,NA
"5121","2_1_1","fecundity",11,5,NA
"5131","2_1_1","fecundity",9,5,NA
"5141","2_1_1","fecundity",6,5,NA
"5151","2_1_1","fecundity",31,5,NA
"5161","2_1_1","fecundity",2,5,NA
"5171","1_1_1","fecundity",39,5,NA
"5181","1_1_1","fecundity",24,5,NA
"5191","1_1_1","fecundity",17,5,NA
"5201","1_1_1","fecundity",58,5,NA
"5213","1_1_1","fecundity",21,5,NA
"5221","1_1_1","fecundity",42,5,NA
"5231","1_1_1","fecundity",49,5,NA
"5241","1_1_1","fecundity",33,5,NA
"5251","1_1_1","fecundity",29,5,NA
"5261","1_1_1","fecundity",33,5,NA
"5271","1_1_1","fecundity",8,5,NA
"5281","1_1_1","fecundity",21,5,NA
"5291","1_1_1","fecundity",14,5,NA
"5301","1_1_1","fecundity",11,5,NA
"5313","1_1_1","fecundity",51,5,NA
"5321","1_1_1","fecundity",56,5,NA
"5331","1_1_1","fecundity",38,5,NA
"5341","1_1_1","fecundity",6,5,NA
"5351","1_1_1","fecundity",37,5,NA
"5361","1_1_1","fecundity",37,5,NA
"5371","1_1_1","fecundity",44,5,NA
"5381","1_1_1","fecundity",31,5,NA
"5391","1_1_1","fecundity",30,5,NA
