"","treatment","time","temp","expt"
"336","25",56,26.6666666666667,1
"337","13",57,27,1
"338","16",57,27,1
"339","19",57,27,1
"340","21",57,27,1
"341","23",57,27,1
"342","25",57,27,1
"343","13",58,28.3333333333333,1
"344","16",58,28.3333333333333,1
"345","19",58,28.3333333333333,1
"346","21",58,28.3333333333333,1
"347","23",58,28.3333333333333,1
"348","25",58,28.3333333333333,1
"349","13",59,29.6666666666667,1
"350","16",59,29.6666666666667,1
"351","19",59,29.6666666666667,1
"352","21",59,29.6666666666667,1
"353","23",59,29.6666666666667,1
"354","25",59,29.6666666666667,1
"355","13",60,31,1
"356","16",60,31,1
"357","19",60,31,1
"358","21",60,31,1
"359","23",60,31,1
"360","25",60,31,1
"361","13",61,32.3333333333333,1
"362","16",61,32.3333333333333,1
"363","19",61,32.3333333333333,1
"364","21",61,32.3333333333333,1
"365","23",61,32.3333333333333,1
"366","25",61,32.3333333333333,1
"367","13",62,33.6666666666667,1
"368","16",62,33.6666666666667,1
"369","19",62,33.6666666666667,1
"370","21",62,33.6666666666667,1
"371","23",62,33.6666666666667,1
"372","25",62,33.6666666666667,1
"373","13",63,35,1
"374","16",63,35,1
"375","19",63,35,1
"376","21",63,35,1
"377","23",63,35,1
"378","25",63,35,1
"379","13",64,33.6666666666667,1
"380","16",64,33.6666666666667,1
"381","19",64,33.6666666666667,1
"382","21",64,33.6666666666667,1
"383","23",64,33.6666666666667,1
"384","25",64,33.6666666666667,1
"385","13",65,32.3333333333333,1
"386","16",65,32.3333333333333,1
"387","19",65,32.3333333333333,1
"388","21",65,32.3333333333333,1
"389","23",65,32.3333333333333,1
"390","25",65,32.3333333333333,1
"391","13",66,31,1
"392","16",66,31,1
"393","19",66,31,1
"394","21",66,31,1
"395","23",66,31,1
"396","25",66,31,1
"397","13",67,29.6666666666667,1
"398","16",67,29.6666666666667,1
"399","19",67,29.6666666666667,1
"400","21",67,29.6666666666667,1
"401","23",67,29.6666666666667,1
"402","25",67,29.6666666666667,1
"403","13",68,28.3333333333333,1
"404","16",68,28.3333333333333,1
"405","19",68,28.3333333333333,1
"406","21",68,28.3333333333333,1
"407","23",68,28.3333333333333,1
"408","25",68,28.3333333333333,1
"409","13",69,27,1
"410","16",69,27,1
"411","19",69,27,1
"412","21",69,27,1
"413","23",69,27,1
"414","25",69,27,1
"415","13",70,24.6666666666667,1
"416","16",70,25.1666666666667,1
"417","19",70,25.6666666666667,1
"418","21",70,26,1
"419","23",70,26.3333333333333,1
"420","25",70,26.6666666666667,1
"421","13",71,22.3333333333333,1
"422","16",71,23.3333333333333,1
"423","19",71,24.3333333333333,1
"424","21",71,25,1
"425","23",71,25.6666666666667,1
"426","25",71,26.3333333333333,1
"427","13",72,20,1
"428","16",72,21.5,1
"429","19",72,23,1
"430","21",72,24,1
"431","23",72,25,1
"432","25",72,26,1
"433","13",73,17.6666666666667,1
"434","16",73,19.6666666666667,1
"435","19",73,21.6666666666667,1
"436","21",73,23,1
"437","23",73,24.3333333333333,1
"438","25",73,25.6666666666667,1
"439","13",74,15.3333333333333,1
"440","16",74,17.8333333333333,1
"441","19",74,20.3333333333333,1
"442","21",74,22,1
"443","23",74,23.6666666666667,1
"444","25",74,25.3333333333333,1
"445","13",75,13,1
"446","16",75,16,1
"447","19",75,19,1
"448","21",75,21,1
"449","23",75,23,1
"450","25",75,25,1
"451","13",76,15.3333333333333,1
"452","16",76,17.8333333333333,1
"453","19",76,20.3333333333333,1
"454","21",76,22,1
"455","23",76,23.6666666666667,1
"456","25",76,25.3333333333333,1
"457","13",77,17.6666666666667,1
"458","16",77,19.6666666666667,1
"459","19",77,21.6666666666667,1
"460","21",77,23,1
"461","23",77,24.3333333333333,1
"462","25",77,25.6666666666667,1
"463","13",78,20,1
"464","16",78,21.5,1
"465","19",78,23,1
"466","21",78,24,1
"467","23",78,25,1
"468","25",78,26,1
"469","13",79,22.3333333333333,1
"470","16",79,23.3333333333333,1
"471","19",79,24.3333333333333,1
"472","21",79,25,1
"473","23",79,25.6666666666667,1
"474","25",79,26.3333333333333,1
"475","13",80,24.6666666666667,1
"476","16",80,25.1666666666667,1
"477","19",80,25.6666666666667,1
"478","21",80,26,1
"479","23",80,26.3333333333333,1
"480","25",80,26.6666666666667,1
"481","13",81,27,1
"482","16",81,27,1
"483","19",81,27,1
"484","21",81,27,1
"485","23",81,27,1
"486","25",81,27,1
"487","13",82,28.3333333333333,1
"488","16",82,28.3333333333333,1
"489","19",82,28.3333333333333,1
"490","21",82,28.3333333333333,1
"491","23",82,28.3333333333333,1
"492","25",82,28.3333333333333,1
"493","13",83,29.6666666666667,1
"494","16",83,29.6666666666667,1
"495","19",83,29.6666666666667,1
"496","21",83,29.6666666666667,1
"497","23",83,29.6666666666667,1
"498","25",83,29.6666666666667,1
"499","13",84,31,1
"500","16",84,31,1
"501","19",84,31,1
"502","21",84,31,1
"503","23",84,31,1
"504","25",84,31,1
"505","13",85,32.3333333333333,1
"506","16",85,32.3333333333333,1
"507","19",85,32.3333333333333,1
"508","21",85,32.3333333333333,1
"509","23",85,32.3333333333333,1
"510","25",85,32.3333333333333,1
"511","13",86,33.6666666666667,1
"512","16",86,33.6666666666667,1
"513","19",86,33.6666666666667,1
"514","21",86,33.6666666666667,1
"515","23",86,33.6666666666667,1
"516","25",86,33.6666666666667,1
"517","13",87,35,1
"518","16",87,35,1
"519","19",87,35,1
"520","21",87,35,1
"521","23",87,35,1
"522","25",87,35,1
"523","13",88,33.6666666666667,1
"524","16",88,33.6666666666667,1
"525","19",88,33.6666666666667,1
"526","21",88,33.6666666666667,1
"527","23",88,33.6666666666667,1
"528","25",88,33.6666666666667,1
"529","13",89,32.3333333333333,1
"530","16",89,32.3333333333333,1
"531","19",89,32.3333333333333,1
"532","21",89,32.3333333333333,1
"533","23",89,32.3333333333333,1
"534","25",89,32.3333333333333,1
"535","13",90,31,1
"536","16",90,31,1
"537","19",90,31,1
"538","21",90,31,1
"539","23",90,31,1
"540","25",90,31,1
"541","13",91,29.6666666666667,1
"542","16",91,29.6666666666667,1
"543","19",91,29.6666666666667,1
"544","21",91,29.6666666666667,1
"545","23",91,29.6666666666667,1
"546","25",91,29.6666666666667,1
"547","13",92,28.3333333333333,1
"548","16",92,28.3333333333333,1
"549","19",92,28.3333333333333,1
"550","21",92,28.3333333333333,1
"551","23",92,28.3333333333333,1
"552","25",92,28.3333333333333,1
"553","13",93,27,1
"554","16",93,27,1
"555","19",93,27,1
"556","21",93,27,1
"557","23",93,27,1
"558","25",93,27,1
"559","13",94,24.6666666666667,1
"560","16",94,25.1666666666667,1
"561","19",94,25.6666666666667,1
"562","21",94,26,1
