"","Treatment","ID","H_C","CycleDays","ContinueNormalDay","ContinueHotday","LifeNormalDay","LifeHotday","NymphNormalDay","NymphHotDay","AdultNormalDay","AdultHotDay","RatioNormaltoHot","MeanT","DailyMin","DailyMax","TD320","TD330","Lower20C","Higher20C","X1st_instar","X2ed_instar","X3rd_instar","X4th_instar","NymphDur","Longevity","Fecundity","BirthDur","UID","Trt","Status"
"110",211,9,"C",2,1,1,15,14,3.5,3,11.5,11,1.045,24.1,20.3,27.9,98,49,462,259,1,1.5,1.5,2.5,6.5,22.5,49,21,"C.211.9","C.211",1
"111",211,10,"C",2,1,1,10,10,4,3,6,7,0.857,24.2,20.4,28,70,35,308,185,1,2,2,2,7,13,33,12,"C.211.10","C.211",1
"112",211,11,"C",2,1,1,10,10,4,3,6,7,0.857,24.2,20.4,28,70,35,308,185,1,2,2,2,7,13,29,13,"C.211.11","C.211",1
"113",211,12,"C",2,1,1,8,8,4,3,4,5,0.8,24.2,20.4,28,56,28,246.4,148,1,2,2,2,7,9,33,9,"C.211.12","C.211",1
"114",211,13,"C",2,1,1,6,6,4,4,2,2,1,24.2,20.4,28,42,21,184.8,111,2,2,2,2,8,4,8,3,"C.211.13","C.211",1
"115",211,14,"C",2,1,1,12,12,4,4,8,8,1,24.2,20.4,28,84,42,369.6,222,1,2,2.5,2.5,8,16,21,12,"C.211.14","C.211",1
"116",211,16,"C",2,1,1,7,7,4,3,3,4,0.75,24.2,20.4,28,49,24.5,215.6,129.5,1,1.5,1.5,3,7,7,14,7,"C.211.16","C.211",1
"117",211,17,"C",2,1,1,7,6,4,4,3,2,1.5,24,20.2,27.8,42,21,215.6,111,1,2,2,3,8,5,11,6,"C.211.17","C.211",1
"118",211,18,"C",2,1,1,16,15,4,3,12,12,1,24.1,20.3,27.9,105,52.5,492.8,277.5,1,1.5,2,2.5,7,24,51,22,"C.211.18","C.211",1
"119",211,21,"C",2,1,1,11,10,3,3,8,7,1.143,24.1,20.3,27.8,70,35,338.8,185,1,1,1.5,2.5,6,15,56,15,"C.211.21","C.211",1
"120",211,23,"C",2,1,1,11,10,4,3.5,7,6.5,1.077,24.1,20.3,27.8,70,35,338.8,185,1,2,2,2.5,7.5,13.5,38,13,"C.211.23","C.211",1
"121",211,24,"C",2,1,1,4,4,3,3,1,1,1,24.2,20.4,28,28,14,123.2,74,1,1.5,1.5,2,6,2,6,1,"C.211.24","C.211",1
"122",211,25,"C",2,1,1,9,9,3.5,3,5.5,6,0.917,24.2,20.4,28,63,31.5,277.2,166.5,1,2,1.5,2,6.5,11.5,37,11,"C.211.25","C.211",1
"123",211,26,"C",2,1,1,10,9,3,3,7,6,1.167,24.1,20.3,27.8,63,31.5,308,166.5,1,1.5,1.5,2,6,13,37,11,"C.211.26","C.211",1
"124",211,30,"C",2,1,1,11,11,3.5,3,7.5,8,0.938,24.2,20.4,28,77,38.5,338.8,203.5,1,2,1.5,2,6.5,15.5,44,15,"C.211.30","C.211",1
"125",211,31,"C",2,1,1,8,7,3,3,5,4,1.25,24,20.3,27.8,49,24.5,246.4,129.5,1,1.5,1.5,2,6,9,31,9,"C.211.31","C.211",1
"126",211,32,"C",2,1,1,9,8,3,3,6,5,1.2,24.1,20.3,27.8,56,28,277.2,148,1,1.5,1.5,2,6,11,30,10,"C.211.32","C.211",1
"127",211,33,"C",2,1,1,7,7,3,3,4,4,1,24.2,20.4,28,49,24.5,215.6,129.5,0.5,2,1.5,2,6,8,13,6,"C.211.33","C.211",1
"128",211,34,"C",2,1,1,9,9,3,3,6,6,1,24.2,20.4,28,63,31.5,277.2,166.5,1,1.5,1.5,2,6,12,39,11,"C.211.34","C.211",1
"129",211,35,"C",2,1,1,9,8,4,3,5,5,1,24.1,20.3,27.8,56,28,277.2,148,1.5,1.5,2,2,7,10,27,11,"C.211.35","C.211",1
"130",211,36,"C",2,1,1,10,10,3,3,7,7,1,24.2,20.4,28,70,35,308,185,1,1.5,1.5,2,6,14,36,13,"C.211.36","C.211",1
"187",431,1,"C",4,3,1,26,8,6,2,20,6,3.333,22.8,19.2,26.5,56,28,800.8,148,1.5,2,2,2.5,8,26,53,25,"C.431.1","C.431",1
"188",431,2,"C",4,3,1,24,8,6,1,18,7,2.571,23,19.3,26.6,56,28,739.2,148,2,1,2,2,7,25,51,19,"C.431.2","C.431",1
"189",431,3,"C",4,3,1,15,4,6,1,9,3,3,22.8,19.1,26.4,28,14,462,74,1.5,1.5,2,2,7,12,25,11,"C.431.3","C.431",1
"190",431,4,"C",4,3,1,12,3,6,1,6,2,3,22.7,19.1,26.3,21,10.5,369.6,55.5,1.5,1.5,1.5,2.5,7,8,33,9,"C.431.4","C.431",1
"191",431,6,"C",4,3,1,12,3,6,2,6,1,6,22.7,19.1,26.3,21,10.5,369.6,55.5,1.5,1.5,2.5,2.5,8,7,7,5,"C.431.6","C.431",1
"192",431,7,"C",4,3,1,18,6,7,2,11,4,2.75,23,19.3,26.6,42,21,554.4,111,1.5,2,3,2.5,9,15,24,13,"C.431.7","C.431",1
"193",431,8,"C",4,3,1,16,5,6,1,10,4,2.5,22.9,19.2,26.5,35,17.5,492.8,92.5,1.5,1.5,1.5,2.5,7,14,36,13,"C.431.8","C.431",1
"194",431,9,"C",4,3,1,27,8,5,1,22,7,3.143,22.8,19.2,26.5,56,28,831.6,148,1,1.5,1.5,2,6,29,70,26,"C.431.9","C.431",1
"195",431,10,"C",4,3,1,19,6,6,1.5,13,4.5,2.889,22.9,19.2,26.5,42,21,585.2,111,2,1.5,2,2,7.5,17.5,50,17,"C.431.10","C.431",1
"196",431,11,"C",4,3,1,22,7,5.5,1,16.5,6,2.75,22.9,19.2,26.5,49,24.5,677.6,129.5,1.5,1.5,1.5,2,6.5,22.5,67,21,"C.431.11","C.431",1
"197",431,12,"C",4,3,1,13,4,6,2,7,2,3.5,22.9,19.2,26.5,28,14,400.4,74,1.5,1.5,3,2,8,9,14,8,"C.431.12","C.431",1
"198",431,13,"C",4,3,1,18,6,6,1,12,5,2.4,23,19.3,26.6,42,21,554.4,111,1,1.5,1.5,3,7,17,43,16,"C.431.13","C.431",1
"199",431,14,"C",4,3,1,12,4,5.5,1,6.5,3,2.167,23,19.3,26.6,28,14,369.6,74,1.5,1.5,1.5,2,6.5,9.5,32,9,"C.431.14","C.431",1
"200",431,15,"C",4,3,1,13,4,6,1.5,7,2.5,2.8,22.9,19.2,26.5,28,14,400.4,74,1.5,1.5,1.5,3,7.5,9.5,20,9,"C.431.15","C.431",1
"202",431,17,"C",4,3,1,26,8,6,1,20,7,2.857,22.9,19.2,26.5,56,28,800.8,148,1.5,1.5,2,2,7,27,54,25,"C.431.17","C.431",1
"203",431,18,"C",4,3,1,25,8,5.5,1,19.5,7,2.786,22.9,19.3,26.6,56,28,770,148,1.5,1.5,1.5,2,6.5,26.5,61,23,"C.431.18","C.431",1
"204",431,19,"C",4,3,1,21,7,5,1,16,6,2.667,23,19.3,26.6,49,24.5,646.8,129.5,1.5,1.5,1.5,1.5,6,22,51,21,"C.431.19","C.431",1
"205",431,20,"C",4,3,1,22,7,5,1,17,6,2.833,22.9,19.2,26.5,49,24.5,677.6,129.5,1.5,1.5,1.5,1.5,6,23,60,22,"C.431.20","C.431",1
"206",431,21,"C",4,3,1,21,7,5.5,1,15.5,6,2.583,23,19.3,26.6,49,24.5,646.8,129.5,1,1.5,1.5,2.5,6.5,21.5,61,22,"C.431.21","C.431",1
"207",431,23,"C",4,3,1,12,4,6,1.5,6,2.5,2.4,23,19.3,26.6,28,14,369.6,74,1.5,1.5,2,2.5,7.5,8.5,20,8,"C.431.23","C.431",1
"208",431,24,"C",4,3,1,18,6,6,1,12,5,2.4,23,19.3,26.6,42,21,554.4,111,1,2,2,2,7,17,39,15,"C.431.24","C.431",1
"209",431,26,"C",4,3,1,22,7,6,1.5,16,5.5,2.909,22.9,19.2,26.5,49,24.5,677.6,129.5,1,1.5,2.5,2.5,7.5,21.5,36,20,"C.431.26","C.431",1
"210",431,27,"C",4,3,1,10,3,5.5,1,4.5,2,2.25,22.9,19.2,26.5,21,10.5,308,55.5,1,1.5,1.5,2.5,6.5,6.5,18,6,"C.431.27","C.431",1
"211",431,29,"C",4,3,1,24,7,6,1.5,18,5.5,3.273,22.8,19.2,26.5,49,24.5,739.2,129.5,1.5,2,2,2,7.5,23.5,65,19,"C.431.29","C.431",1
"212",431,30,"C",4,3,1,19,6,6,1,13,5,2.6,22.9,19.2,26.5,42,21,585.2,111,1.5,1.5,2,2,7,18,44,16,"C.431.30","C.431",1
"213",431,31,"C",4,3,1,21,6,6,1.5,15,4.5,3.333,22.8,19.2,26.4,42,21,646.8,111,2,2,2,1.5,7.5,19.5,40,18,"C.431.31","C.431",1
"214",431,32,"C",4,3,1,15,5,5.5,1,9.5,4,2.375,23,19.3,26.6,35,17.5,462,92.5,1,1.5,1.5,2.5,6.5,13.5,45,13,"C.431.32","C.431",1
"215",431,33,"C",4,3,1,30,9,6,1.5,24,7.5,3.2,23,19.2,26.5,63,31.5,924,166.5,1,2,1.5,3,7.5,31.5,42,19,"C.431.33","C.431",1
"216",431,35,"C",4,3,1,12,4,6,1.5,6,2.5,2.4,23,19.3,26.6,28,14,369.6,74,1.5,1.5,2,2.5,7.5,8.5,21,9,"C.431.35","C.431",1
"217",431,36,"C",4,3,1,21,6,5.5,1,15.5,5,3.1,22.8,19.2,26.4,42,21,646.8,111,1.5,1.5,1.5,2,6.5,20.5,55,17,"C.431.36","C.431",1
"218",321,2,"C",3,2,1,10,4,5,2,5,2,2.5,23.1,19.4,26.8,28,14,308,74,1,2,2,2,7,7,22,8,"C.321.2","C.321",1
"219",321,3,"C",3,2,1,14,7,4,2,10,5,2,23.4,19.7,27.1,49,24.5,431.2,129.5,1,1.5,2,1.5,6,15,47,15,"C.321.3","C.321",1
"220",321,4,"C",3,2,1,12,5,4.5,2,7.5,3,2.5,23.2,19.5,26.8,35,17.5,369.6,92.5,1,1.5,2,2,6.5,10.5,33,10,"C.321.4","C.321",1
"221",321,5,"C",3,2,1,9,4,5,2,4,2,2,23.2,19.5,26.9,28,14,277.2,74,2,1.5,1.5,2,7,6,25,5,"C.321.5","C.321",1
"222",321,6,"C",3,2,1,16,8,5.5,2,10.5,6,1.75,23.4,19.7,27.1,56,28,492.8,148,0.5,2,2.5,2.5,7.5,16.5,38,15,"C.321.6","C.321",1
"223",321,7,"C",3,2,1,18,9,4.5,2,13.5,7,1.929,23.4,19.7,27.1,63,31.5,554.4,166.5,1,1.5,2,2,6.5,20.5,35,17,"C.321.7","C.321",1
"224",321,8,"C",3,2,1,18,9,4.5,2,13.5,7,1.929,23.4,19.7,27.1,63,31.5,554.4,166.5,1,1.5,2.5,1.5,6.5,20.5,55,20,"C.321.8","C.321",1
"225",321,9,"C",3,2,1,13,6,4,2,9,4,2.25,23.3,19.6,27,42,21,400.4,111,1,1.5,1.5,2,6,13,41,12,"C.321.9","C.321",1
"226",321,10,"C",3,2,1,14,7,4,1.5,10,5.5,1.818,23.4,19.7,27.1,49,24.5,431.2,129.5,0.5,1.5,2.5,1,5.5,15.5,31,13,"C.321.10","C.321",1
"227",321,12,"C",3,2,1,13,6,5.5,2,7.5,4,1.875,23.3,19.6,27,42,21,400.4,111,2,1.5,1.5,2.5,7.5,11.5,37,12,"C.321.12","C.321",1
"228",321,13,"C",3,2,1,7,3,5,2,2,1,2,23.2,19.5,26.9,21,10.5,215.6,55.5,1,1.5,2.5,2,7,3,3,3,"C.321.13","C.321",1
"229",321,14,"C",3,2,1,9,4,4.5,2,4.5,2,2.25,23.2,19.5,26.9,28,14,277.2,74,1,1.5,2,2,6.5,6.5,28,7,"C.321.14","C.321",1
"230",321,15,"C",3,2,1,6,3,5.5,2,0.5,1,0.5,23.4,19.7,27.1,21,10.5,184.8,55.5,1.5,1.5,2,2.5,7.5,1.5,1,1,"C.321.15","C.321",1
"231",321,16,"C",3,2,1,20,10,5.5,2,14.5,8,1.813,23.4,19.7,27.1,70,35,616,185,1.5,1.5,2.5,2,7.5,22.5,54,22,"C.321.16","C.321",1
"232",321,19,"C",3,2,1,12,6,5,2,7,4,1.75,23.4,19.7,27.1,42,21,369.6,111,1,1,3,2,7,11,23,11,"C.321.19","C.321",1
"233",321,20,"C",3,2,1,13,6,5.5,2,7.5,4,1.875,23.3,19.6,27,42,21,400.4,111,1,1.5,2.5,2.5,7.5,11.5,26,11,"C.321.20","C.321",1
"234",321,21,"C",3,2,1,8,3,5.5,2,2.5,1,2.5,23.1,19.4,26.7,21,10.5,246.4,55.5,2,1.5,1.5,2.5,7.5,3.5,5,3,"C.321.21","C.321",1
"235",321,22,"C",3,2,1,17,8,4,2,13,6,2.167,23.3,19.6,27,56,28,523.6,148,1,1,2,2,6,19,55,17,"C.321.22","C.321",1
"236",321,23,"C",3,2,1,18,9,6,2,12,7,1.714,23.4,19.7,27.1,63,31.5,554.4,166.5,2,2,2,2,8,19,45,17,"C.321.23","C.321",1
"237",321,24,"C",3,2,1,20,9,6,2,14,7,2,23.3,19.6,26.9,63,31.5,616,166.5,0.5,2,2.5,3,8,21,35,17,"C.321.24","C.321",1
"238",321,25,"C",3,2,1,20,10,5,2,15,8,1.875,23.4,19.7,27.1,70,35,616,185,1.5,1.5,2,2,7,23,52,22,"C.321.25","C.321",1
"239",321,26,"C",3,2,1,11,5,4.5,2,6.5,3,2.167,23.3,19.6,26.9,35,17.5,338.8,92.5,1,1.5,1.5,2.5,6.5,9.5,31,11,"C.321.26","C.321",1
"240",321,27,"C",3,2,1,13,6,4.5,2,8.5,4,2.125,23.3,19.6,27,42,21,400.4,111,1,1.5,2,2,6.5,12.5,33,12,"C.321.27","C.321",1
"241",321,28,"C",3,2,1,12,6,4,2,8,4,2,23.4,19.7,27.1,42,21,369.6,111,1.5,1,2,1.5,6,12,46,11,"C.321.28","C.321",1
"242",321,29,"C",3,2,1,13,6,5.5,2,7.5,4,1.875,23.3,19.6,27,42,21,400.4,111,1.5,2,1.5,2.5,7.5,11.5,33,11,"C.321.29","C.321",1
"243",321,30,"C",3,2,1,16,8,6,2,10,6,1.667,23.4,19.7,27.1,56,28,492.8,148,1.5,2.5,1.5,2.5,8,16,46,14,"C.321.30","C.321",1
"244",321,32,"C",3,2,1,18,8,5,2,13,6,2.167,23.2,19.5,26.9,56,28,554.4,148,1.5,1.5,2,2,7,19,59,19,"C.321.32","C.321",1
"245",321,33,"C",3,2,1,14,7,6,2,8,5,1.6,23.4,19.7,27.1,49,24.5,431.2,129.5,1,2,2.5,2.5,8,13,34,12,"C.321.33","C.321",1
"246",321,34,"C",3,2,1,18,9,6,2,12,7,1.714,23.4,19.7,27.1,63,31.5,554.4,166.5,2,1.5,2,2.5,8,19,42,18,"C.321.34","C.321",1
"247",321,35,"C",3,2,1,18,9,5,2,13,7,1.857,23.4,19.7,27.1,63,31.5,554.4,166.5,1.5,1.5,2,2,7,20,55,20,"C.321.35","C.321",1
"248",321,36,"C",3,2,1,13,6,5,2,8,4,2,23.3,19.6,27,42,21,400.4,111,1.5,1.5,2,2,7,12,36,12,"C.321.36","C.321",1
"250",633,2,"C",6,3,3,15,13,5,3,10,10,1,24,20.3,27.8,91,45.5,462,240.5,1.5,1.5,2.5,2.5,8,20,45,19,"C.633.2","C.633",1
"251",633,3,"C",6,3,3,7,6,3.5,3,3.5,3,1.167,24,20.2,27.8,42,21,215.6,111,1,2,1.5,2,6.5,6.5,14,6,"C.633.3","C.633",1
